threshold,fpr,tpr
8.972431077694235091e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.997493734335839655e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.022556390977443108e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.047619047619046562e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.072681704260651125e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.097744360902255689e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.122807017543859143e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.147869674185462596e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.172932330827067160e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.197994987468671724e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.223057644110275177e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.248120300751878631e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.273182957393483195e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.298245614035087758e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.323308270676691212e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.348370927318294665e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.373433583959899229e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.398496240601503793e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.423558897243107246e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.448621553884710700e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.473684210526315264e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.498746867167919827e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.523809523809523281e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.548872180451126734e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.573934837092731298e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.598997493734335862e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.624060150375939315e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.649122807017542769e-01,1.000000000000000000e+00,1.000000000000000000e+00
